ETH Address,Stake,Tier,Participation
0x712a...b78e,156,5,1
0xefb9...5ea0,1153,3,4
0x6632...bc0b,1052,3,4
0x76db...ec6a,189,5,1
0x4e54...69bf,1000,3,4
0x1e60...ccfa,150,5,1
0x0b40...4f11,298,5,1
0x0a5c...cc22,1511,3,6
0xd4f1...b713,1021,3,4
0xde78...9c71,1023,3,4
0x87d2...07b0,500,4,2
0x3fae...83e3,1003,3,4
0x2863...8031,1201,3,4
0x35a2...4b81,1503,3,6
0xb497...d51b,1000,3,4
0xb82f...a4cf,1219,3,4
0x2967...e311,328,5,1
0x3124...a8f4,500,4,2
0xf7e1...38f6,1005,3,4
0x6ee7...e89c,1005,3,4
0x68c3...c44c,153,5,1
0x83b3...b566,156,5,1
0xc459...4102,153,5,1
0x2411...4949,1042,3,4
0xaa97...b82d,150,5,1
0x9e7f...805f,150,5,1
0x118e...d504,500,4,2
0xb17d...d97e,1001,3,4
0x6398...7603,1005,3,4
0x0c4a...15ba,1000,3,4
0x3ed1...d451,1084,3,4
0x34dc...a523,1008,3,4
