ETH Address,Stake,Tier,Participation
0x6b30...b9f1,150,5,1
0x2f67...03b9,500,4,2
0x77ad...18ac,150,5,1
0x3ab8...e593,518,4,2
0x4c24...7f25,639,4,2
0x92ca...192d,1000,3,4
0x1908...c8c0,150,5,1
0xa3e1...564a,163,5,1
0x020b...0359,503,4,2
0xf9c8...f059,548,4,2
0x6a5e...fdb6,1000,3,4
0xd71a...9e22,1010,3,4
0x60cc...f423,150,5,1
0x8cec...4805,226,5,1
0xc898...7792,2083,3,8
0xd6fa...91c7,500,4,2
0x580c...b05b,2000,3,8
0x7ef4...5370,1554,3,6
0x7ef8...99ae,1000,3,4
0x5e47...2178,1000,3,4
0x9084...9723,175,5,1
