ETH Address, Stake, Tier, Participation Weight
0x9ba9...fe11,160,5,1
0x69cb...e3f2,2100,3,8
0x511e...ad88,1000,3,4
0x87e9...a142,1162,3,4
0x4efa...7713,1011,3,4
0x95c0...a95d,1000,3,4
0x43ee...cab3,224,5,1
0xd552...cf84,500,4,2
0xbd84...6a35,1000,3,4
0xed7c...b8cc,151,5,1
0x376f...5180,150,5,1
0xfc70...4507,1033,3,4
0x06a8...9e9b,500,4,2
0x2b10...7e8b,155,5,1
0xfa10...7714,200,5,1
0xcfde...ee49,155,5,1
0x2a58...d205,150,5,1
0xd52d...9550,1002,3,4
0xe51c...e238,500,4,2
0x4db9...cf27,504,4,2
0xfcee...cfc2,1000,3,4
0x35a4...4148,501,4,2
0xc5f5...e311,500,4,2
0x0836...f2e8,150,5,1
0x23c7...7f2d,168,5,1
0x755b...8c98,1012,3,4
0x1d97...0702,163,5,1
0xc909...2dbe,1118,3,4
0x8d0b...9f64,156,5,1
0xd0e9...64c2,500,4,2
0xd98a...2101,169,5,1
0x1e9b...72d4,501,4,2
0xfd46...6a41,1005,3,4
0xac30...74d0,150,5,1
0xd71a...9e22,1010,3,4
0x3b5b...bac3,151,5,1
0x8ec2...d13a,150,5,1
0x42b3...c2e4,500,4,2
0xb6ab...3730,1197,3,4
0x8932...fa21,1000,3,4
0x8881...06c3,1000,3,4
0x14ed...83a4,1001,3,4
0x83fb...4d17,505,4,2
0x8ceb...f1ee,1009,3,4
0x2c9c...6deb,150,5,1
0xab9c...1cb0,762,4,2
0xd1c6...f3e2,1073,3,4
0x5d20...2b8f,781,4,2
0xa1fb...6492,1015,3,4
0x260e...fc55,805,4,2
0x9878...d0e3,598,4,2
0xfac1...a191,1043,3,4
0xed29...4996,218,5,1
0x87b6...1a2d,257,5,1
0x0456...f294,344,5,1
0x4b9e...1116,1008,3,4
0x0f85...c617,505,4,2
0xb8f7...308c,153,5,1
0x0693...522e,1002,3,4
0xe8fd...88fe,200,5,1
0x0752...c807,501,4,2
0x69d2...eb80,1529,3,6
0x46f3...bbe8,507,4,2
0x5091...18d2,155,5,1
0x7936...0726,538,4,2
0x32b4...3bb1,500,4,2
0xa179...0789,157,5,1
0x4a9c...cb66,151,5,1
0xa275...6335,1007,3,4
0x4ea7...814b,184,5,1
0x0474...5a85,504,4,2
0xa88e...1f22,502,4,2
0x46a0...e34d,174,5,1
0xab61...b14e,508,4,2
0xa2c7...8d58,150,5,1
0x99f6...a375,1006,3,4
0x3aed...091a,407,5,1
0x8e97...00e8,237,5,1
0x6994...12c9,253,5,1
0x36c6...5231,150,5,1
0x9617...d0de,250,5,1
0x09d8...cbdb,220,5,1
0xd4f1...b713,178,5,1
0x98e0...7d63,152,5,1
0x3a73...4ad7,1028,3,4
0x2f18...754f,1787,3,7
0x2d02...7ff2,159,5,1
0x38d9...e8e3,1004,3,4
0x3a4a...e3d6,180,5,1
0x4979...5c15,1000,3,4
0xf825...1fc5,1502,3,6
0xcaab...5d41,500,4,2
0x2da4...9c50,256,5,1
0xf3d7...853e,150,5,1
0xf751...e4b4,1246,3,4
0x12cf...041b,153,5,1
0xff99...4b20,1002,3,4
0x90a1...0ac8,1000,3,4
0x586e...f59d,150,5,1
0xcee7...35b3,203,5,1
0x0687...0643,150,5,1
0xc723...3890,151,5,1
0xe04d...d28b,291,5,1
0xf9f8...5974,608,4,2
0xc17a...7828,1240,3,4
0x5f2d...2d55,251,5,1
0x09a8...1e16,161,5,1
0xb63c...213c,500,4,2
0x140e...d5aa,503,4,2
